attack_type,packet Number,event_type,time_stamp,signal_strength,ssid,bssid,src,dst,reason,status,details
Dragonblood DoS,186,Authentication,,-63,,78:72:64:ea:b9:14,2e:72:47:a2:3b:47,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,188,Authentication,,-63,,78:72:64:ea:b9:14,62:08:72:38:98:42,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,189,Authentication,,-65,,78:72:64:ea:b9:14,7e:ac:73:dd:c5:76,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,191,Authentication,,-63,,78:72:64:ea:b9:14,16:46:ab:d1:d3:7e,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,192,Authentication,,-63,,78:72:64:ea:b9:14,4a:89:3f:0d:07:9a,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,193,Authentication,,-65,,78:72:64:ea:b9:14,be:35:97:51:be:20,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,194,Authentication,,-63,,78:72:64:ea:b9:14,86:25:78:27:dd:c1,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,195,Authentication,,-65,,78:72:64:ea:b9:14,42:c9:4c:a3:93:f8,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,196,Authentication,,-66,,78:72:64:ea:b9:14,4a:d5:3e:45:d3:66,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,197,Authentication,,-64,,78:72:64:ea:b9:14,a6:59:9b:95:9d:9f,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,199,Authentication,,-64,,78:72:64:ea:b9:14,02:8f:d5:8f:ef:fa,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,200,Authentication,,-63,,78:72:64:ea:b9:14,a2:5f:6b:67:1c:aa,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,201,Authentication,,-62,,78:72:64:ea:b9:14,86:1a:49:9d:8c:36,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,202,Authentication,,-63,,78:72:64:ea:b9:14,7e:d8:7e:4c:fe:19,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,203,Authentication,,-63,,78:72:64:ea:b9:14,3e:1a:73:c6:ee:69,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,204,Authentication,,-63,,78:72:64:ea:b9:14,da:a4:ac:a4:7b:26,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,205,Authentication,,-63,,78:72:64:ea:b9:14,12:2d:16:ab:d0:45,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,206,Authentication,,-63,,78:72:64:ea:b9:14,ee:6b:54:a8:74:93,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,207,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d2:09:2c:ba:e2:7f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,208,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d2:09:2c:ba:e2:7f,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,209,Authentication,,-62,,78:72:64:ea:b9:14,22:a8:58:61:ce:d9,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,211,Authentication,,-62,,78:72:64:ea:b9:14,ce:38:8f:0e:ba:7a,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,212,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d2:09:2c:ba:e2:7f,,126,Unsuccessful Authentication (check status code) to Trusted AP
,213,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,d2:09:2c:ba:e2:7f,,126,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,214,Authentication,,-62,,78:72:64:ea:b9:14,36:dc:c2:bf:dd:17,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,215,Authentication,,-64,,78:72:64:ea:b9:14,ee:17:d0:86:e4:8d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,216,Authentication,,-64,,78:72:64:ea:b9:14,d6:dc:f3:aa:ea:b6,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
Dragonblood DoS,217,Authentication,,-64,,78:72:64:ea:b9:14,56:c8:aa:14:33:46,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,218,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,8e:78:24:37:7c:22,,76,Unsuccessful Authentication (check status code) to Trusted AP
,219,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,8e:78:24:37:7c:22,,76,Unsuccessful Authentication (check status code) to Trusted AP
,220,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,8e:78:24:37:7c:22,,76,Unsuccessful Authentication (check status code) to Trusted AP
,221,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,8e:78:24:37:7c:22,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,222,Authentication,,-63,,78:72:64:ea:b9:14,2a:08:fa:d1:e3:bd,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,223,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:67:e1:3d:fb:78,,76,Unsuccessful Authentication (check status code) to Trusted AP
,225,Authentication,,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,f6:67:e1:3d:fb:78,,76,Unsuccessful Authentication (check status code) to Trusted AP
,226,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:92:b7:a7:da:77,,76,Unsuccessful Authentication (check status code) to Trusted AP
,227,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:92:b7:a7:da:77,,76,Unsuccessful Authentication (check status code) to Trusted AP
,228,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:92:b7:a7:da:77,,76,Unsuccessful Authentication (check status code) to Trusted AP
,229,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,2a:92:b7:a7:da:77,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,230,Authentication,,-63,,78:72:64:ea:b9:14,8e:53:d2:70:e5:10,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,231,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:7a:69:6d:25:89,,76,Unsuccessful Authentication (check status code) to Trusted AP
,232,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:7a:69:6d:25:89,,76,Unsuccessful Authentication (check status code) to Trusted AP
,233,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:7a:69:6d:25:89,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,234,Authentication,,-64,,78:72:64:ea:b9:14,72:1f:a3:33:da:7d,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,235,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,1a:7a:69:6d:25:89,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,236,Authentication,,-64,,78:72:64:ea:b9:14,0e:09:a8:9b:38:3b,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,237,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b7:85:35:97:6a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,238,Authentication,,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b7:85:35:97:6a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,239,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b7:85:35:97:6a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,240,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,36:b7:85:35:97:6a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,241,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:b1:b3:68:94:29,,76,Unsuccessful Authentication (check status code) to Trusted AP
,242,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:b1:b3:68:94:29,,76,Unsuccessful Authentication (check status code) to Trusted AP
,243,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:b1:b3:68:94:29,,76,Unsuccessful Authentication (check status code) to Trusted AP
,244,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:b1:b3:68:94:29,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,245,Authentication,,-66,,78:72:64:ea:b9:14,62:8b:fc:11:05:ad,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,246,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0a:c7:6b:27:8a:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,247,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0a:c7:6b:27:8a:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,248,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0a:c7:6b:27:8a:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,249,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0a:c7:6b:27:8a:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,250,Authentication,,-63,,78:72:64:ea:b9:14,2a:e8:8a:bc:76:6b,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,251,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,66:65:7c:c7:d1:d6,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,252,Authentication,,-63,,78:72:64:ea:b9:14,4a:21:89:31:5c:d5,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
,253,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,66:65:7c:c7:d1:d6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,254,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,66:65:7c:c7:d1:d6,,76,Unsuccessful Authentication (check status code) to Trusted AP
,255,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9a:9a:79:0e:32:14,,76,Unsuccessful Authentication (check status code) to Trusted AP
,256,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9a:9a:79:0e:32:14,,76,Unsuccessful Authentication (check status code) to Trusted AP
,257,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9a:9a:79:0e:32:14,,76,Unsuccessful Authentication (check status code) to Trusted AP
,258,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,9a:9a:79:0e:32:14,,76,Unsuccessful Authentication (check status code) to Trusted AP
,259,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:25:10:f5:1b:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,260,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:25:10:f5:1b:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,261,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:25:10:f5:1b:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,262,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,42:25:10:f5:1b:6f,,76,Unsuccessful Authentication (check status code) to Trusted AP
,263,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:3f:fd:71:cf:b2,,76,Unsuccessful Authentication (check status code) to Trusted AP
,264,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:3f:fd:71:cf:b2,,76,Unsuccessful Authentication (check status code) to Trusted AP
,265,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,6e:3f:fd:71:cf:b2,,76,Unsuccessful Authentication (check status code) to Trusted AP
,266,Authentication,,-31,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:3f:89:b0:cb:96,,76,Unsuccessful Authentication (check status code) to Trusted AP
,268,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:3f:89:b0:cb:96,,76,Unsuccessful Authentication (check status code) to Trusted AP
,269,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:3f:89:b0:cb:96,,76,Unsuccessful Authentication (check status code) to Trusted AP
,270,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:3f:89:b0:cb:96,,76,Unsuccessful Authentication (check status code) to Trusted AP
,271,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:ba:ea:75:fa:e3,,76,Unsuccessful Authentication (check status code) to Trusted AP
,272,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:ba:ea:75:fa:e3,,76,Unsuccessful Authentication (check status code) to Trusted AP
,273,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:ba:ea:75:fa:e3,,76,Unsuccessful Authentication (check status code) to Trusted AP
,274,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,86:ba:ea:75:fa:e3,,76,Unsuccessful Authentication (check status code) to Trusted AP
,275,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,aa:aa:dd:a6:aa:fd,,76,Unsuccessful Authentication (check status code) to Trusted AP
,276,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,aa:aa:dd:a6:aa:fd,,76,Unsuccessful Authentication (check status code) to Trusted AP
,277,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,aa:aa:dd:a6:aa:fd,,76,Unsuccessful Authentication (check status code) to Trusted AP
,278,Authentication,,-30,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,aa:aa:dd:a6:aa:fd,,76,Unsuccessful Authentication (check status code) to Trusted AP
,279,Authentication,,-27,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:5a:7b:04:a9:38,,76,Unsuccessful Authentication (check status code) to Trusted AP
,280,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:5a:7b:04:a9:38,,76,Unsuccessful Authentication (check status code) to Trusted AP
,281,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,fe:5a:7b:04:a9:38,,76,Unsuccessful Authentication (check status code) to Trusted AP
,282,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0e:63:28:98:cf:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,283,Authentication,,-29,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0e:63:28:98:cf:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
,284,Authentication,,-28,,78:72:64:ea:b9:14,78:72:64:ea:b9:14,0e:63:28:98:cf:1a,,76,Unsuccessful Authentication (check status code) to Trusted AP
Dragonblood DoS,285,Authentication,,-63,,78:72:64:ea:b9:14,5a:95:a5:73:78:e2,78:72:64:ea:b9:14,,126,Attacker is Sending Authentication request to trusted AP
