packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
14651,17280251585,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14652,17280315434,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14653,17280321842,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14654,17280328407,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14655,17280334917,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14656,17280349888,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14657,17280415424,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14658,17280448974,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14659,17280455747,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14660,17280467887,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14661,17280480960,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14662,17280572860,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14663,17280579263,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14664,17280584006,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14665,17280589789,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14666,17280596560,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14667,17280644799,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14668,17280677566,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14669,17280687001,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
14670,17280689048,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14671,17280695665,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14672,17280702386,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14673,17280708999,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14674,17280787132,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14675,17280814658,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14676,17280821377,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14677,17280827887,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14678,17280834556,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14679,17280841406,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14680,17280906941,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14681,17280947900,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14682,17281004634,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14684,17281016865,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14685,17281023533,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14686,17281030097,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14687,17281036079,QoS Data,148,34,-20,920,2,8,1,0,0,0,0,1,720,0
14690,17281044381,QoS Data,131,34,-19,920,2,8,1,0,0,0,0,1,720,0
14693,17281070780,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14694,17281103547,Authentication,166,34,-55,920,0,11,0,0,0,0,0,0,0,0
14695,17281169083,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14696,17281174294,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14697,17281180855,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14698,17281187265,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14699,17281193983,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14700,17281267387,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14702,17281310640,Authentication,166,34,-19,920,0,11,0,0,0,0,0,0,720,0
14703,17281316629,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14704,17281323140,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14705,17281329753,Authentication,166,34,-18,920,0,11,0,0,1,0,0,0,720,0
14706,17281365690,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14708,17281431226,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14709,17281464873,Authentication,166,34,-18,920,0,11,0,0,0,0,0,0,720,0
14710,17281471177,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14711,17281477790,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14712,17281484509,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14713,17281496761,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14714,17281506201,S1G Beacon,129,34,-16,920,3,1,,,,,,,0,0
14715,17281529529,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
14716,17281595064,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
14717,17281599650,Authentication,166,34,-17,920,0,11,0,0,0,0,0,0,720,0
14718,17281606059,Authentication,166,34,-17,920,0,11,0,0,1,0,0,0,720,0
14719,17281612674,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14720,17281618771,Authentication,166,34,-16,920,0,11,0,0,1,0,0,0,720,0
14721,17281646263,Authentication,166,34,-56,920,0,11,0,0,0,0,0,0,0,0
