packet_number,tsf,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
72,4720930845,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
73,4721282332,QoS Data,149,34,-32,920,2,8,1,0,0,0,0,1,720,0
75,4721291141,QoS Data,131,34,-27,920,2,8,1,0,0,0,0,1,720,0
76,4721454577,QoS Data,128,34,-32,920,2,8,1,0,0,0,0,1,720,0
78,4721750046,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
79,4722154313,Data,287,34,-23,920,2,0,0,0,0,0,0,1,0,0
80,4723388453,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
81,4724207658,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
82,4725026860,S1G Beacon,129,34,-23,920,3,1,,,,,,,0,0
83,4725846063,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
85,4726302188,QoS Data,149,34,-32,920,2,8,1,0,0,0,0,1,720,0
86,4726305019,QoS Data,149,34,-28,920,2,8,0,0,0,0,0,1,720,0
88,4726311779,QoS Data,131,34,-27,920,2,8,1,0,0,0,0,1,720,0
89,4726454362,QoS Data,128,34,-32,920,2,8,1,0,0,0,0,1,720,0
91,4726456584,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
93,4726665266,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
94,4727484470,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
95,4728202323,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
96,4728303674,S1G Beacon,129,34,-21,920,3,1,,,,,,,0,0
97,4729122876,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
98,4731226275,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
