packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
6578,2026-06-29T14:22:33.137151000Z,Authentication,102,34,-19,920,0,11,0,0,0,0,0,0,720,0
6579,2026-06-29T14:22:33.141220000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6580,2026-06-29T14:22:33.145229000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6581,2026-06-29T14:22:33.149192000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6582,2026-06-29T14:22:33.177423000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6583,2026-06-29T14:22:33.183741000Z,Authentication,166,34,-52,920,0,11,0,0,0,0,0,0,0,0
6584,2026-06-29T14:22:33.189954000Z,Authentication,102,34,-19,920,0,11,0,0,0,0,0,0,720,0
6585,2026-06-29T14:22:33.194123000Z,Authentication,102,34,-20,920,0,11,0,0,1,0,0,0,720,0
6586,2026-06-29T14:22:33.198343000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6587,2026-06-29T14:22:33.204047000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6588,2026-06-29T14:22:33.207154000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6589,2026-06-29T14:22:33.217361000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6590,2026-06-29T14:22:33.226513000Z,Authentication,166,34,-57,920,0,11,0,0,0,0,0,0,0,0
6591,2026-06-29T14:22:33.250126000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6592,2026-06-29T14:22:33.282046000Z,Authentication,166,34,-53,920,0,11,0,0,0,0,0,0,0,0
6593,2026-06-29T14:22:33.295112000Z,Authentication,166,34,-20,920,0,11,0,0,0,0,0,0,720,0
6594,2026-06-29T14:22:33.306733000Z,Authentication,166,34,-22,920,0,11,0,0,1,0,0,0,720,0
6595,2026-06-29T14:22:33.312723000Z,Authentication,166,34,-19,920,0,11,0,0,1,0,0,0,720,0
6596,2026-06-29T14:22:33.323095000Z,Authentication,166,34,-52,920,0,11,0,0,0,0,0,0,0,0
6597,2026-06-29T14:22:33.358095000Z,Authentication,166,34,-22,920,0,11,0,0,1,0,0,0,720,0
6598,2026-06-29T14:22:33.364178000Z,Authentication,166,34,-21,920,0,11,0,0,1,0,0,0,720,0
6599,2026-06-29T14:22:33.369849000Z,Authentication,166,34,-20,920,0,11,0,0,1,0,0,0,720,0
6600,2026-06-29T14:22:33.381210000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6601,2026-06-29T14:22:33.390366000Z,Authentication,198,34,-54,920,0,11,0,0,0,0,0,0,0,0
6602,2026-06-29T14:22:33.445907000Z,Authentication,166,34,-53,920,0,11,0,0,0,0,0,0,0,0
6603,2026-06-29T14:22:33.458200000Z,Authentication,166,34,-21,920,0,11,0,0,1,0,0,0,720,0
6604,2026-06-29T14:22:33.463932000Z,Authentication,166,34,-19,920,0,11,0,0,1,0,0,0,720,0
6605,2026-06-29T14:22:33.469768000Z,Authentication,166,34,-21,920,0,11,0,0,1,0,0,0,720,0
6606,2026-06-29T14:22:33.478670000Z,Authentication,166,34,-52,920,0,11,0,0,0,0,0,0,0,0
6607,2026-06-29T14:22:33.488678000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6608,2026-06-29T14:22:33.494360000Z,Authentication,198,34,-51,920,0,11,0,0,0,0,0,0,0,0
6609,2026-06-29T14:22:33.512286000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6610,2026-06-29T14:22:33.516871000Z,Authentication,166,34,-19,920,0,11,0,0,0,0,0,0,720,0
6611,2026-06-29T14:22:33.522553000Z,Authentication,166,34,-19,920,0,11,0,0,1,0,0,0,720,0
6612,2026-06-29T14:22:33.528440000Z,Authentication,166,34,-19,920,0,11,0,0,1,0,0,0,720,0
6613,2026-06-29T14:22:33.534119000Z,Authentication,166,34,-19,920,0,11,0,0,1,0,0,0,720,0
6614,2026-06-29T14:22:33.544210000Z,Authentication,166,34,-52,920,0,11,0,0,0,0,0,0,0,0
6615,2026-06-29T14:22:33.559388000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6616,2026-06-29T14:22:33.576977000Z,Authentication,166,34,-53,920,0,11,0,0,0,0,0,0,0,0
6617,2026-06-29T14:22:33.582942000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6618,2026-06-29T14:22:33.599324000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6619,2026-06-29T14:22:33.602485000Z,Authentication,102,34,-19,920,0,11,0,0,0,0,0,0,720,0
6620,2026-06-29T14:22:33.606497000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6621,2026-06-29T14:22:33.610823000Z,Authentication,102,34,-20,920,0,11,0,0,1,0,0,0,720,0
6622,2026-06-29T14:22:33.614941000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6623,2026-06-29T14:22:33.652663000Z,Authentication,102,34,-20,920,0,11,0,0,1,0,0,0,720,0
6624,2026-06-29T14:22:33.656720000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6625,2026-06-29T14:22:33.660940000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6626,2026-06-29T14:22:33.676129000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6627,2026-06-29T14:22:33.708899000Z,Authentication,198,34,-51,920,0,11,0,0,0,0,0,0,0,0
6628,2026-06-29T14:22:33.729383000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6629,2026-06-29T14:22:33.741668000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6630,2026-06-29T14:22:33.774428000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6631,2026-06-29T14:22:33.784431000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6632,2026-06-29T14:22:33.793585000Z,Authentication,166,34,-54,920,0,11,0,0,0,0,0,0,0,0
6633,2026-06-29T14:22:33.798886000Z,Authentication,102,34,-19,920,0,11,0,0,0,0,0,0,720,0
6634,2026-06-29T14:22:33.802904000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6635,2026-06-29T14:22:33.806962000Z,Authentication,102,34,-55,920,0,11,0,0,1,0,0,0,720,0
6636,2026-06-29T14:22:33.812206000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6637,2026-06-29T14:22:33.815046000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
6638,2026-06-29T14:22:33.831768000Z,Authentication,198,34,-53,920,0,11,0,0,0,0,0,0,0,0
6639,2026-06-29T14:22:33.839973000Z,Authentication,198,34,-52,920,0,11,0,0,0,0,0,0,0,0
6640,2026-06-29T14:22:33.904656000Z,Authentication,166,34,-52,920,0,11,0,0,0,0,0,0,0,0
6641,2026-06-29T14:22:33.910323000Z,Authentication,102,34,-19,920,0,11,0,0,0,0,0,0,720,0
6642,2026-06-29T14:22:33.914439000Z,Authentication,102,34,-19,920,0,11,0,0,1,0,0,0,720,0
