attack_type,packet Number,event_type,time_stamp,signal_strength,bssid,src,dst,details
,3419,QoS Data,2026-07-03T13:59:34.458126000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3421,QoS Data,2026-07-03T13:59:34.465286000Z,-19,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3425,QoS Data,2026-07-03T13:59:34.527586000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3438,QoS Data,2026-07-03T13:59:39.485139000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3440,QoS Data,2026-07-03T13:59:39.487698000Z,-65,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3441,QoS Data,2026-07-03T13:59:39.491774000Z,-64,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3443,QoS Data,2026-07-03T13:59:39.498773000Z,-18,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3446,QoS Data,2026-07-03T13:59:39.527657000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3448,QoS Data,2026-07-03T13:59:39.530549000Z,-63,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3460,QoS Data,2026-07-03T13:59:44.514795000Z,-11,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3462,QoS Data,2026-07-03T13:59:44.517687000Z,-66,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3466,QoS Data,2026-07-03T13:59:44.777148000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3490,QoS Data,2026-07-03T13:59:49.534840000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3491,QoS Data,2026-07-03T13:59:49.538665000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3494,QoS Data,2026-07-03T13:59:49.548300000Z,-19,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3498,QoS Data,2026-07-03T13:59:49.777034000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3500,QoS Data,2026-07-03T13:59:49.779363000Z,-66,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3507,QoS Data,2026-07-03T13:59:54.564753000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3510,QoS Data,2026-07-03T13:59:54.574124000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3511,QoS Data,2026-07-03T13:59:54.577414000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3514,QoS Data,2026-07-03T13:59:54.777163000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3525,QoS Data,2026-07-03T13:59:59.594764000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3534,QoS Data,2026-07-03T13:59:59.791149000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3548,QoS Data,2026-07-03T14:00:04.624757000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3551,QoS Data,2026-07-03T14:00:04.633554000Z,-17,78:72:64:ea:b9:14,3c:22:7f:71:dc:b8,3c:22:7f:71:df:d6,Transmitting data using Trusted AP
,3554,QoS Data,2026-07-03T14:00:04.777190000Z,-9,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
,3579,QoS Data,2026-07-03T14:00:09.645153000Z,-10,78:72:64:ea:b9:14,3c:22:7f:71:df:d6,3c:22:7f:71:dc:b8,Transmitting data using Trusted AP
