packet_number,timestamp,frame_name,frame_len,length,dbm_antsignal,channel_freq,type,subtype,ds,frag,retry,pwrmgt,moredata,protected,duration,label
3699,2026-06-22T17:42:35.469007000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3700,2026-06-22T17:42:36.290019000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3701,2026-06-22T17:42:36.845270000Z,QoS Data,150,34,-28,920,2,8,1,0,0,0,0,1,720,0
3703,2026-06-22T17:42:36.847887000Z,QoS Data,150,34,-27,920,2,8,0,0,0,0,0,1,720,0
3705,2026-06-22T17:42:36.853179000Z,QoS Data,131,34,-22,920,2,8,1,0,0,0,0,1,720,0
3707,2026-06-22T17:42:36.855505000Z,QoS Data,131,34,-28,920,2,8,0,0,0,0,0,1,720,0
3709,2026-06-22T17:42:36.923719000Z,QoS Data,128,34,-23,920,2,8,1,0,0,0,0,1,720,0
3711,2026-06-22T17:42:36.926768000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
3713,2026-06-22T17:42:37.107435000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3714,2026-06-22T17:42:37.608638000Z,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
3716,2026-06-22T17:42:37.783363000Z,Data,378,34,-19,920,2,0,0,0,0,0,0,1,0,0
3717,2026-06-22T17:42:37.887329000Z,Data,387,34,-20,920,2,0,0,0,0,0,0,1,0,0
3718,2026-06-22T17:42:37.928460000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
3719,2026-06-22T17:42:37.993023000Z,Data,450,34,-20,920,2,0,0,0,0,0,0,1,0,0
3720,2026-06-22T17:42:38.096850000Z,Data,442,34,-19,920,2,0,0,0,0,0,0,1,0,0
3721,2026-06-22T17:42:38.199442000Z,Data,387,34,-18,920,2,0,0,0,0,0,0,1,0,0
3722,2026-06-22T17:42:38.304349000Z,Data,426,34,-18,920,2,0,0,0,0,0,0,1,0,0
3723,2026-06-22T17:42:38.409898000Z,Data,458,34,-19,920,2,0,0,0,0,0,0,1,0,0
3724,2026-06-22T17:42:38.511462000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
3725,2026-06-22T17:42:38.616936000Z,Data,446,34,-19,920,2,0,0,0,0,0,0,1,0,0
3726,2026-06-22T17:42:38.720823000Z,Data,440,34,-19,920,2,0,0,0,0,0,0,1,0,0
3727,2026-06-22T17:42:38.745878000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3729,2026-06-22T17:42:38.928863000Z,Data,442,34,-19,920,2,0,0,0,0,0,0,1,0,0
3730,2026-06-22T17:42:39.033751000Z,Data,452,34,-18,920,2,0,0,0,0,0,0,1,0,0
3732,2026-06-22T17:42:39.566909000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3733,2026-06-22T17:42:40.384829000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3734,2026-06-22T17:42:40.632773000Z,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
3735,2026-06-22T17:42:41.867988000Z,QoS Data,148,34,-28,920,2,8,1,0,0,0,0,1,720,0
3737,2026-06-22T17:42:41.870604000Z,QoS Data,148,34,-26,920,2,8,0,0,0,0,0,1,720,0
3739,2026-06-22T17:42:41.875889000Z,QoS Data,131,34,-21,920,2,8,1,0,0,0,0,1,720,0
3741,2026-06-22T17:42:41.878481000Z,QoS Data,131,34,-26,920,2,8,0,0,0,0,0,1,720,0
3743,2026-06-22T17:42:41.923654000Z,QoS Data,128,34,-28,920,2,8,1,0,0,0,0,1,720,0
3745,2026-06-22T17:42:41.926343000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
3747,2026-06-22T17:42:42.022779000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3748,2026-06-22T17:42:42.843814000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
3749,2026-06-22T17:42:43.661232000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
3750,2026-06-22T17:42:43.669667000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
3751,2026-06-22T17:42:44.482267000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3752,2026-06-22T17:42:45.299691000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3753,2026-06-22T17:42:46.120723000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3754,2026-06-22T17:42:46.681112000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
3755,2026-06-22T17:42:46.890952000Z,QoS Data,149,34,-27,920,2,8,1,0,0,0,0,1,720,0
3757,2026-06-22T17:42:46.893507000Z,QoS Data,149,34,-25,920,2,8,0,0,0,0,0,1,720,0
3758,2026-06-22T17:42:46.896343000Z,QoS Data,149,34,-27,920,2,8,0,0,1,0,0,1,720,0
3760,2026-06-22T17:42:46.902104000Z,QoS Data,131,34,-19,920,2,8,1,0,0,0,0,1,720,0
3762,2026-06-22T17:42:46.904536000Z,QoS Data,131,34,-27,920,2,8,0,0,0,0,0,1,720,0
3764,2026-06-22T17:42:46.923716000Z,QoS Data,128,34,-31,920,2,8,1,0,0,0,0,1,720,0
3766,2026-06-22T17:42:46.926244000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
3767,2026-06-22T17:42:46.929202000Z,QoS Data,128,34,-26,920,2,8,0,0,1,0,0,1,720,0
3769,2026-06-22T17:42:46.938132000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
3770,2026-06-22T17:42:47.759166000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3771,2026-06-22T17:42:48.576600000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
3772,2026-06-22T17:42:49.397611000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3773,2026-06-22T17:42:49.705106000Z,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
3774,2026-06-22T17:42:50.215048000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3776,2026-06-22T17:42:51.036058000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3777,2026-06-22T17:42:51.853487000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3778,2026-06-22T17:42:51.916445000Z,QoS Data,148,34,-27,920,2,8,1,0,0,0,0,1,720,0
3780,2026-06-22T17:42:51.919117000Z,QoS Data,148,34,-22,920,2,8,0,0,0,0,0,1,720,0
3782,2026-06-22T17:42:51.924825000Z,QoS Data,131,34,-19,920,2,8,1,0,0,0,0,1,720,0
3784,2026-06-22T17:42:51.927462000Z,QoS Data,131,34,-28,920,2,8,0,0,0,0,0,1,720,0
3786,2026-06-22T17:42:52.174735000Z,QoS Data,128,34,-27,920,2,8,1,0,0,0,0,1,720,0
3788,2026-06-22T17:42:52.177300000Z,QoS Data,128,34,-26,920,2,8,0,0,0,0,0,1,720,0
3789,2026-06-22T17:42:52.179841000Z,QoS Data,128,34,-27,920,2,8,0,0,1,0,0,1,720,0
3790,2026-06-22T17:42:52.183307000Z,QoS Data,128,34,-27,920,2,8,0,0,1,0,0,1,720,0
3792,2026-06-22T17:42:52.674519000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
3793,2026-06-22T17:42:52.729120000Z,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
3794,2026-06-22T17:42:53.491939000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
3795,2026-06-22T17:42:54.312967000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3796,2026-06-22T17:42:55.130385000Z,S1G Beacon,61,34,-18,920,3,1,,,,,,,0,0
3797,2026-06-22T17:42:55.753626000Z,Data,287,34,-18,920,2,0,0,0,0,0,0,1,0,0
3798,2026-06-22T17:42:55.951417000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3799,2026-06-22T17:42:56.768842000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3801,2026-06-22T17:42:56.942724000Z,QoS Data,149,34,-29,920,2,8,0,0,0,0,0,1,720,0
3803,2026-06-22T17:42:56.948370000Z,QoS Data,131,34,-19,920,2,8,1,0,0,0,0,1,720,0
3805,2026-06-22T17:42:56.951213000Z,QoS Data,131,34,-27,920,2,8,0,0,0,0,0,1,720,0
3807,2026-06-22T17:42:57.173613000Z,QoS Data,128,34,-28,920,2,8,1,0,0,0,0,1,720,0
3809,2026-06-22T17:42:57.175769000Z,QoS Data,128,34,-27,920,2,8,0,0,0,0,0,1,720,0
3811,2026-06-22T17:42:57.589867000Z,S1G Beacon,129,34,-19,920,3,1,,,,,,,0,0
3812,2026-06-22T17:42:58.407283000Z,S1G Beacon,61,34,-19,920,3,1,,,,,,,0,0
3813,2026-06-22T17:42:58.777306000Z,Data,287,34,-19,920,2,0,0,0,0,0,0,1,0,0
3814,2026-06-22T17:42:58.788170000Z,Data,378,34,-20,920,2,0,0,0,0,0,0,1,0,0
3815,2026-06-22T17:42:58.887928000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
3816,2026-06-22T17:42:58.993599000Z,Data,450,34,-20,920,2,0,0,0,0,0,0,1,0,0
3817,2026-06-22T17:42:59.097493000Z,Data,442,34,-19,920,2,0,0,0,0,0,0,1,0,0
3818,2026-06-22T17:42:59.200069000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
3819,2026-06-22T17:42:59.228307000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
3820,2026-06-22T17:42:59.304958000Z,Data,426,34,-18,920,2,0,0,0,0,0,0,1,0,0
3821,2026-06-22T17:42:59.410093000Z,Data,458,34,-19,920,2,0,0,0,0,0,0,1,0,0
3822,2026-06-22T17:42:59.617580000Z,Data,446,34,-20,920,2,0,0,0,0,0,0,1,0,0
3823,2026-06-22T17:42:59.721569000Z,Data,440,34,-20,920,2,0,0,0,0,0,0,1,0,0
3824,2026-06-22T17:42:59.824231000Z,Data,387,34,-19,920,2,0,0,0,0,0,0,1,0,0
3825,2026-06-22T17:42:59.929411000Z,Data,442,34,-20,920,2,0,0,0,0,0,0,1,0,0
3826,2026-06-22T17:43:00.033752000Z,Data,452,34,-22,920,2,0,0,0,0,0,0,1,0,0
3827,2026-06-22T17:43:00.045731000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
3828,2026-06-22T17:43:00.866764000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
3829,2026-06-22T17:43:01.684199000Z,S1G Beacon,61,34,-22,920,3,1,,,,,,,0,0
3830,2026-06-22T17:43:01.801538000Z,Data,287,34,-22,920,2,0,0,0,0,0,0,1,0,0
3831,2026-06-22T17:43:01.964210000Z,QoS Data,150,34,-28,920,2,8,1,0,0,0,0,1,720,0
3833,2026-06-22T17:43:01.966464000Z,QoS Data,150,34,-27,920,2,8,0,0,0,0,0,1,720,0
3835,2026-06-22T17:43:01.972116000Z,QoS Data,131,34,-21,920,2,8,1,0,0,0,0,1,720,0
3837,2026-06-22T17:43:01.974654000Z,QoS Data,131,34,-26,920,2,8,0,0,0,0,0,1,720,0
3839,2026-06-22T17:43:02.173653000Z,QoS Data,128,34,-28,920,2,8,1,0,0,0,0,1,720,0
3841,2026-06-22T17:43:02.176218000Z,QoS Data,128,34,-29,920,2,8,0,0,0,0,0,1,720,0
3843,2026-06-22T17:43:02.505218000Z,S1G Beacon,129,34,-20,920,3,1,,,,,,,0,0
3844,2026-06-22T17:43:03.322646000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
3846,2026-06-22T17:43:04.143666000Z,S1G Beacon,129,34,-21,920,3,1,,,,,,,0,0
3847,2026-06-22T17:43:04.825546000Z,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
3848,2026-06-22T17:43:04.961089000Z,S1G Beacon,61,34,-20,920,3,1,,,,,,,0,0
3850,2026-06-22T17:43:05.782120000Z,S1G Beacon,129,34,-21,920,3,1,,,,,,,0,0
3851,2026-06-22T17:43:06.599541000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
3852,2026-06-22T17:43:06.988227000Z,QoS Data,149,34,-28,920,2,8,1,0,0,0,0,1,720,0
3854,2026-06-22T17:43:06.990377000Z,QoS Data,149,34,-28,920,2,8,0,0,0,0,0,1,720,0
3856,2026-06-22T17:43:06.996133000Z,QoS Data,131,34,-21,920,2,8,1,0,0,0,0,1,720,0
3859,2026-06-22T17:43:07.173639000Z,QoS Data,128,34,-29,920,2,8,1,0,0,0,0,1,720,0
3861,2026-06-22T17:43:07.175789000Z,QoS Data,128,34,-30,920,2,8,0,0,0,0,0,1,720,0
3863,2026-06-22T17:43:07.420563000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
3864,2026-06-22T17:43:07.849851000Z,Data,287,34,-21,920,2,0,0,0,0,0,0,1,0,0
3865,2026-06-22T17:43:08.089336000Z,QoS Data,88,34,-20,920,2,8,1,0,0,0,0,1,720,0
3867,2026-06-22T17:43:08.237984000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
3869,2026-06-22T17:43:09.059014000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
3870,2026-06-22T17:43:09.876436000Z,S1G Beacon,61,34,-22,920,3,1,,,,,,,0,0
3871,2026-06-22T17:43:10.697474000Z,S1G Beacon,129,34,-24,920,3,1,,,,,,,0,0
3872,2026-06-22T17:43:10.873664000Z,Data,287,34,-27,920,2,0,0,0,0,0,0,1,0,0
3873,2026-06-22T17:43:11.514882000Z,S1G Beacon,61,34,-23,920,3,1,,,,,,,0,0
3874,2026-06-22T17:43:12.010493000Z,QoS Data,148,34,-28,920,2,8,1,0,0,0,0,1,720,0
3876,2026-06-22T17:43:12.012569000Z,QoS Data,148,34,-30,920,2,8,0,0,0,0,0,1,720,0
3878,2026-06-22T17:43:12.018479000Z,QoS Data,131,34,-20,920,2,8,1,0,0,0,0,1,720,0
3880,2026-06-22T17:43:12.020705000Z,QoS Data,131,34,-30,920,2,8,0,0,0,0,0,1,720,0
3882,2026-06-22T17:43:12.173631000Z,QoS Data,128,34,-27,920,2,8,1,0,0,0,0,1,720,0
3883,2026-06-22T17:43:12.176714000Z,QoS Data,128,34,-28,920,2,8,0,0,0,0,0,1,720,0
3885,2026-06-22T17:43:12.335906000Z,S1G Beacon,129,34,-23,920,3,1,,,,,,,0,0
3886,2026-06-22T17:43:13.153333000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
3887,2026-06-22T17:43:13.897702000Z,Data,287,34,-22,920,2,0,0,0,0,0,0,1,0,0
3888,2026-06-22T17:43:13.974367000Z,S1G Beacon,129,34,-21,920,3,1,,,,,,,0,0
3889,2026-06-22T17:43:14.791781000Z,S1G Beacon,61,34,-22,920,3,1,,,,,,,0,0
3891,2026-06-22T17:43:15.612809000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
3892,2026-06-22T17:43:16.430243000Z,S1G Beacon,61,34,-21,920,3,1,,,,,,,0,0
3893,2026-06-22T17:43:16.921837000Z,Data,287,34,-23,920,2,0,0,0,0,0,0,1,0,0
3894,2026-06-22T17:43:17.033649000Z,QoS Data,148,34,-27,920,2,8,1,0,0,0,0,1,720,0
3896,2026-06-22T17:43:17.041507000Z,QoS Data,131,34,-19,920,2,8,1,0,0,0,0,1,720,0
3898,2026-06-22T17:43:17.043829000Z,QoS Data,131,34,-30,920,2,8,0,0,0,0,0,1,720,0
3900,2026-06-22T17:43:17.173939000Z,QoS Data,128,34,-27,920,2,8,1,0,0,0,0,1,720,0
3902,2026-06-22T17:43:17.175977000Z,QoS Data,128,34,-30,920,2,8,0,0,0,0,0,1,720,0
3904,2026-06-22T17:43:17.251263000Z,S1G Beacon,129,34,-22,920,3,1,,,,,,,0,0
3905,2026-06-22T17:43:18.068684000Z,S1G Beacon,61,34,-24,920,3,1,,,,,,,0,0
3906,2026-06-22T17:43:18.889712000Z,S1G Beacon,129,34,-23,920,3,1,,,,,,,0,0
3907,2026-06-22T17:43:19.346947000Z,QoS Data,88,34,-28,920,2,8,1,0,0,0,0,1,720,0
3909,2026-06-22T17:43:19.707138000Z,S1G Beacon,61,34,-22,920,3,1,,,,,,,0,0
3910,2026-06-22T17:43:19.888510000Z,Data,387,34,-23,920,2,0,0,0,0,0,0,1,0,0
3911,2026-06-22T17:43:19.945886000Z,Data,287,34,-22,920,2,0,0,0,0,0,0,1,0,0
3912,2026-06-22T17:43:19.994149000Z,Data,450,34,-24,920,2,0,0,0,0,0,0,1,0,0
3913,2026-06-22T17:43:20.098114000Z,Data,442,34,-29,920,2,0,0,0,0,0,0,1,0,0
3914,2026-06-22T17:43:20.200697000Z,Data,387,34,-29,920,2,0,0,0,0,0,0,1,0,0
3915,2026-06-22T17:43:20.305593000Z,Data,426,34,-28,920,2,0,0,0,0,0,0,1,0,0
3916,2026-06-22T17:43:20.410556000Z,Data,458,34,-27,920,2,0,0,0,0,0,0,1,0,0
3917,2026-06-22T17:43:20.512910000Z,Data,387,34,-26,920,2,0,0,0,0,0,0,1,0,0
3918,2026-06-22T17:43:20.528159000Z,S1G Beacon,129,34,-23,920,3,1,,,,,,,0,0
